acres,situs,zone_code,mf_threat,aia_zone,mi_from_Micron,parcel
558.2,E COLUMBIA RD,RP,Low,Outside AIA,1.86,S1616110000
381.5,E COLUMBIA RD,RUT,Low,A,1.17,S1605110424
280.9,8450 S WAFER WAY,I-3,Low,B,0.05,O1607417200
193.7,E COLUMBIA RD,RUT,Low,A,1.09,S1605346600
159.6,S EISEMAN RD,RP,Low,A,1.96,S1513300000
159.5,E COLUMBIA RD,RUT,Low,Outside AIA,1.38,S1609300000
159.4,E COLUMBIA RD,RUT,Low,Outside AIA,1.89,S1609417200
159.1,E COLUMBIA RD,I-3,Low,A,0.76,S1617212400
158.9,S EISENMAN RD,RP,Low,A,1.5,S1513417200
158.7,S EISENMAN RD,M3,Low,B,2.1,S1511400000
156.6,S PLEASANT VALLEY RD,RP,Low,A,2.03,S1524110000
156.5,S HOLCOMB RD,RP,Low,A,2.16,S1619417200
156.2,E COLUMBIA RD,RUT,Low,A,0.75,S1608110500
155.1,9605 S EISENMAN RD,I-1,Low,A,1.24,S1513110500
140.1,S PLEASANT VALLEY RD,RP,Low,A,2.19,S1524131200
119.4,5051 E COLUMBIA RD,I-3,Low,A,0.75,S1608427800
119.2,E COLUMBIA RD,I-3,Low,A,0.51,S1608314800
118.3,COLUMBIA RD,RUT,Low,Outside AIA,1.95,S1604346660
116.8,E BLACKS CREEK RD,RP,Low,Outside AIA,1.57,S1620120000
115.4,5901 S QUAMASH WAY,A-1,Low,A,1.87,R1525750910
102.3,S EISENMAN RD,M3,Low,B,1.59,S1512212600
100.9,E HWY 21,A-1,Low,Outside AIA,2.18,S1604131350
99.4,E COLUMBIA RD,I-3,Low,A,1.48,S1617141910
96.5,9000 S GIGABIT LN,I-3,Low,B,0.3,S1607314875
86.3,951 E GOWEN RD,I-2,Low,C,1.89,S1501336400
84.7,E I-84,RP,Low,Outside AIA,2.09,S1620233700
81.2,S FEDERAL WAY,I-3,Low,B,1.05,S1606314800
79.7,E COLUMBIA RD,RP,Low,Outside AIA,1.71,S1616120000
79.6,S EISENMAN RD,I-1,Low,B,1.89,S1511110000
79.6,E COLUMBIA RD,RP,Low,A,1.34,S1617336000
79.6,E COLUMBIA RD,I-3,Low,A,1.08,S1617120000
79.6,3845 E MEMORY RD,I-3,Low,A,1.1,S1617314825
79.5,E COLUMBIA RD,I-3,Low,A,1.28,S1617420000
79.4,S FEDERAL WAY,I-3,Low,B,0.28,S1607417200
79.3,E I-84,RP,Low,A,1.64,S1619210000
79.2,S EISENMAN RD,M3,Low,A,1.76,S1513230005
78.7,2390 E FREIGHT ST,I-1,Low,B,1.12,S1512438400
78.4,S FEDERAL WAY,RP,Low,A,0.74,S1618110100
77.8,S HOLCOMB RD,RP,Low,A,1.8,S1619130000
76.9,9199 S WAREHOUSE WAY,M3,Low,B,1.68,S1512336001
75.4,9499 S WAREHOUSE WAY,I-2,Low,A,1.63,S1513210000
75.1,8971 S WAREHOUSE WAY,M3,Low,B,1.61,S1512325401
72.4,E WARM SPRINGS AVE,RUT,Low,Outside AIA,1.82,S1604233615
71.2,E I-84,RP,Low,A,1.26,S1618325412
69.9,COLUMBIA RD,RUT,Low,Outside AIA,1.63,S1604336220
66.4,E COLUMBIA RD,RUT,Low,A,0.97,S1606417210
66.4,3999 E COLUMBIA WAY,I-3,Low,B,0.3,S1607141800
59.6,E COLUMBIA RD,I-3,Low,A,0.34,S1608233600
58.5,S HOLCOMB RD,RP,Low,A,1.5,S1619110000
55.3,8000 S FEDERAL WAY,I-3,Low,B,0.53,S1607120701
49.7,1001 E GOWEN RD,I-1,Low,C,2.13,S1501223206
49.6,7560 S FEDERAL WAY,I-3,Low,B,0.89,S1606336021
43.6,2000 E WINCO CT,I-1,Low,B,0.97,S1512417225
43.1,8000 S FEDERAL WAY,I-3,Low,B,0.7,S1607212409
43.0,3850 E COLUMBIA RD,RUT,Low,A,0.73,S1606449000
42.5,S FEDERAL WAY,RP,Low,A,1.11,S1618417200
42.2,E GRAND FOREST DR,A-1,Low,A,1.62,S1606212405
40.5,S FEDERAL WAY,RP,Low,A,1.22,S1618315010
40.2,S EISENMAN RD,RP,Low,A,2.11,S1514141800
39.8,S FEDERAL WAY,RUT,Low,A,1.04,S1608449000
39.8,S FEDERAL WAY,RP,Low,A,1.13,S1617110000
39.8,S AMBER RIDGE AVE,RUT,Low,A,1.02,S1608141800
39.8,E COLUMBIA RD,RUT,Low,Outside AIA,2.01,S1609140000
39.8,E COLUMBIA RD,RUT,Low,A,1.0,S1608417250
39.8,E COLUMBIA RD,R-1C,Low,Outside AIA,1.51,S1609244200
