acres,parcel_count,min_dist_mi,owner,owner_type,zoning,zoning_threat_baseline,compactness,location,lat,lon,parcels
62.08,2,3.5,,individual,Ada County/Boise:R-3,High,0.744,2017 W VICTORY RD,43.572953,-116.206183,"S1027212400,S1027223200"
12.6,3,0.84,,individual,Ada County/Boise:MX-2,High,0.72,7983 S FEDERAL WAY,43.529589,-116.15182,"S1607223301,S1607223575,S1607223595"
10.25,2,4.47,,individual,Ada County/Boise:R-3,High,0.353,1507 S OAKLAND AVE,43.59377,-116.204365,"R5577760451,R5577760530"
7.56,1,3.76,,individual,Ada County/Boise:R-3,High,0.443,1550 S LOGGERS POND PL,43.593573,-116.174333,S1014449000
7.01,2,0.61,,individual,Ada County/Boise:MX-2,High,0.616,6650 S EISENMAN RD,43.54146,-116.163929,"R3219920066,R3219920100"
6.35,1,4.19,,individual,Ada County/Boise:MX-3,High,0.735,300 E PARKCENTER BLVD,43.598991,-116.178691,R6907010160
5.21,2,3.56,,individual,Ada County/Boise:MX-2,High,0.65,3700 S VISTA AVE,43.56844,-116.212121,"S1027233840,S1027233850"
3.29,1,0.59,,individual,Ada County/Boise:MX-2,High,0.753,7050 S EISENMAN RD,43.536962,-116.161015,R3936960200
3.25,1,2.55,,individual,Ada County/Boise:R-3,High,0.377,281 E FAIRBROOK DR,43.572131,-116.180158,R5125630141
2.84,1,4.31,,individual,Ada County/Boise:MX-3,High,0.678,292 W PARKCENTER BLVD,43.599225,-116.184609,R6907010050
2.17,1,0.34,,individual,Ada County/Boise:MX-2,High,0.463,2149 E HOSPITALITY LN,43.539046,-116.156775,R2929910032
2.09,1,3.21,,individual,Ada County/Boise:MX-2,High,0.806,1915 W AIRPORT WAY,43.567083,-116.204892,R8184740900
8.82,2,4.08,,individual,Ada County/Boise:R-2,Medium,0.253,W HILLCREST LN,43.577284,-116.222003,"S1021438510,S1021449110"
6.76,1,4.73,,individual,Ada County/Boise:R-2,Medium,0.298,2350 W KOOTENAI ST,43.595298,-116.210006,S1015325410
