property,est_delivery,units,bucket,costar_year,# Fill est_delivery as 'Q2 2028'. Re-run with --pipeline-dates.
Sheely Center Future Phase,,697,PROPOSED,,
Urban 95 Parcel C,,500,PROPOSED,,
Urban 95 Parcel B,,478,PROPOSED,,
Celebration Plaza Parcel B,,410,PROPOSED,,
The District at Westgate,,384,PROPOSED,,
Picerne at Palm Valley,,383,PROPOSED,,
Liv Avondale,,333,PROPOSED,,
Urban 95 Parcel A,,324,PROPOSED,,
Fuze 623,,321,PROPOSED,,
Anton Glendale,,320,PROPOSED,,
Western Garden II,,314,PROPOSED,,
Sanctuair at Centerscape,,303,PROPOSED,,
Banyan Avondale,,296,PROPOSED,,
Rosilian Villas,,291,PROPOSED,,
Orion Avondale,,268,PROPOSED,,
Tavalo at Avondale,,266,PROPOSED,,
Marbella Ranch East Future Phase,,266,PROPOSED,,
Crystal Cove,,260,PROPOSED,,
Cornerstone at the Wigwam,,212,PROPOSED,,
Radia Avondale Station III,,212,PROPOSED,,
Celebration Plaza Parcel A,,181,PROPOSED,,
Villages at River Grove,,180,PROPOSED,,
District 99,,172,PROPOSED,,
McDowell Villas,,164,PROPOSED,,
Avondale,,156,PROPOSED,,
Porter Kyle Development,,135,PROPOSED,,
Zenn @ Sierra Verde,,66,PROPOSED,,
The BLVD Residential District,,,PROPOSED,,
The BLVD Park Avenue District,,,PROPOSED,,
Globe Land Investors Development,,,PROPOSED,,
Ball Park,,,PROPOSED,,
Vision 2 Parcel A,,,PROPOSED,,
Firststreet Verde,,,PROPOSED,,
Goodyear Civic Square at Estrella Falls,,,PROPOSED,,
I-10 Innovation Center II,,,PROPOSED,,
Celebration Plaza Parcel D,,,PROPOSED,,
SimonMed Development II,,,PROPOSED,,
182 South 95th Avenue,,,PROPOSED,,
Envision Encore,,,PROPOSED,,
